merged_symbol	merged_geneid	replaced_geneid	replaced_discontinued_geneid	replaced_discontinued_symbol	replaced_date	GeneID	Discontinued_GeneID	Discontinued_Symbol	Discontinue_Date
DYNLRB1	83658	83658	29096	DNLC2A	20050510				
DYNLRB2	83657	83657	140737	DNLC2B	20050510				
DYRK4	8798	8798	116342	LOC116342	20050510				
DYSF	8291	8291	3969	LGMD2B	20050509				
E2F3P1	1872	1872	100420154	LOC100420154	20100813				
E2F3P2	100420003	100420003	1873	E2F3P2	20111019				
E2F5	1875	1875	137782	LOC137782	20050510				
E4F1	1877	1877	116059	LOC116059	20050510				
EAPP	55837	55837	94452	LOC94452	20050510				
EBF2	64641	64641	90868	COE2	20050518				
EBF3	253738	253738	276717	EBF3	20050502				
EBLN1	340900	340900	119528	LOC119528	20050510				
EBLN1	340900	340900	220221	LOC220221	20050510				
EBLN1	340900	340900	650394	LOC650394	20070619				
EBP	10682	10682	1037	CDPX2	20050217				
EBP	10682	10682	139151	LOC139151	20050510				
ECE2	9718	9718	84291	MGC2408	20070726				
ECEL1	9427	9427	92382	LOC92382	20050510				
ECEL1	9427	9427	94923	LOC94923	20050510				
ECEL1P2	347694	347694	100420773	LOC100420773	20110329				
ECEL1P2	347694	347694	260333	ECEL1P2	20050510				
ECI2	10455	10455	134779	LOC134779	20050510				
ECRP	643332	643332	650648	LOC650648	20060323				
ECSCR	641700	641700	650185	LOC650185	20060323				
ECT2	1894	1894	55710	FLJ10461	20050510				
ECT2L	345930	345930	387069	C6orf91	20070718				
ECT2L	345930	345930	387075	ECT2L	20090310				
EDA	1896	1896	113618	LOC113618	20050510				
EDA	1896	1896	158836	LOC158836	20050510				
EDA	1896	1896	220890	LOC220890	20050510				
EDA	1896	1896	4960	ODT1	20110402				
EDA	1896	1896	90876	LOC90876	20050510				
EDA	1896	1896	90878	LOC90878	20050510				
EDAR	10913	10913	1898	ED3	20050510				
EDEM2	55741	55741	149963	LOC149963	20050510				
EDEM2	55741	55741	92775	LOC92775	20050510				
EDEM2	55741	55741	96814	LOC96814	20050510				
EDEM3	80267	80267	25931	DKFZP434N126	20050510				
EDEM3	80267	80267	55067	FLJ10083	20050510				
EDEM3	80267	80267	87240	LOC87240	20050510				
EDF1	8721	8721	138304	LOC138304	20050510				
EDN2	1907	1907	112951	LOC112951	20050510				
EDNRB	1910	1910	100874171	LINC00439	20130419				
EDNRB	1910	1910	3282	HSCR2	20050510				
EEF1A1	1915	1915	1916	EEF1A1L14	20050510				
EEF1A1	1915	1915	94055	LENG7	20050504				
EEF1A1	1915	1915	96648	LOC96648	20050510				
EEF1A1P1	54054	54054	100421867	LOC100421867	20100811				
EEF1A1P1	54054	54054	140217	LOC140217	20050510				
EEF1A1P10	100421829	100421829	100510005	LOC100510005	20110803				
EEF1A1P10	100421829	100421829	1926	EEF1A1P10	20110117				
EEF1A1P11	440595	440595	100421838	LOC100421838	20100811				
EEF1A1P11	440595	440595	115553	LOC115553	20050510				
EEF1A1P11	440595	440595	148372	LOC148372	20050510				
EEF1A1P11	440595	440595	1927	EEF1AL9	20081019				
EEF1A1P11	440595	440595	284556	LOC284556	20050506				
EEF1A1P11	440595	440595	82865	LOC82865	20050510				
EEF1A1P11	440595	440595	85984	LOC85984	20050510				
EEF1A1P12	644604	644604	1928	EEF1AL10	20100309				
EEF1A1P12	644604	644604	649150	LOC649150	20070619				
EEF1A1P13	133283	133283	1929	EEF1AL11	20050509				
EEF1A1P14	647167	647167	100421839	LOC100421839	20100811				
EEF1A1P14	647167	647167	1930	EEF1AL12	20081019				
EEF1A1P14	647167	647167	651571	LOC651571	20070619				
EEF1A1P15	643563	643563	1931	EEF1AL13	20100311				
EEF1A1P15	643563	643563	649008	LOC649008	20070619				
EEF1A1P2	319112	319112	100421922	LOC100421922	20100811				
EEF1A1P22	645693	645693	401816	LOC401816	20080304				
EEF1A1P24	645715	645715	651566	LOC651566	20070619				
EEF1A1P25	646612	646612	651365	LOC651365	20070619				
EEF1A1P28	442709	442709	100421830	LOC100421830	20100811				
EEF1A1P28	442709	442709	442332	LOC442332	20090121				
EEF1A1P29	100130211	100130211	100421834	LOC100421834	20100811				
EEF1A1P3	100421865	100421865	1919	EEF1A1P3	20110308				
EEF1A1P31	553820	553820	100421835	LOC100421835	20101010				
EEF1A1P32	730232	730232	732196	LOC732196	20070619				
EEF1A1P38	124199	124199	648395	LOC648395	20060323				
EEF1A1P4	100421854	100421854	1920	EEF1A1P4	20111015				
EEF1A1P5	158078	158078	1921	EEF1AL3	20070626				
EEF1A1P6	221838	221838	1922	EEF1AL4	20081019				
EEF1A1P7	390924	390924	100421858	LOC100421858	20100811				
EEF1A1P7	390924	390924	1923	EEF1AL5	20081025				
EEF1A1P7	390924	390924	731825	LOC731825	20070619				
EEF1A1P8	389179	389179	100421814	LOC100421814	20100811				
EEF1A1P8	389179	389179	1924	EEF1AL6	20070718				
EEF1A1P9	441032	441032	1925	EEF1AL7	20070718				
EEF1A1P9	441032	441032	649550	LOC649550	20080304				
EEF1A2	1917	1917	1177	STN	20100604				
EEF1A2	1917	1917	6669	STNL	20081107				
EEF1B2P1	1932	1932	100421812	LOC100421812	20100813				
EEF1B2P2	1934	1934	100421761	LOC100421761	20110131				
EEF1B2P2	1934	1934	153393	LOC153393	20050510				
EEF1B2P3	644820	644820	1935	EEF1B4	20080612				
EEF1B2P3	644820	644820	651279	LOC651279	20060323				
EEF1B2P3	644820	644820	90723	LOC90723	20050510				
EEF1B2P5	442227	442227	135519	LOC135519	20050510				
EEF1B2P5	442227	442227	647442	LOC647442	20070619				
EEF1D	1936	1936	100130834	LOC100130834	20081211				
EEF1D	1936	1936	82554	LOC82554	20050510				
EEF1D	1936	1936	84338	FLJ20897	20050510				
EEF1D	1936	1936	87167	LOC87167	20050510				
EEF1DP1	126037	126037	100422650	LOC100422650	20100813				
EEF1DP2	442429	442429	650173	LOC650173	20060323				
EEF1DP3	196549	196549	100422652	LOC100422652	20100813				
EEF1DP3	196549	196549	730044	LOC730044	20070719				
EEF1DP4	442325	442325	100422649	LOC100422649	20100813				
EEF1DP5	442258	442258	100422648	LOC100422648	20100811				
EEF1GP1	646837	646837	100421744	LOC100421744	20100813				
EEF1GP1	646837	646837	641789	LOC641789	20090121				
EEF1GP1	646837	646837	648722	LOC648722	20070619				
EEF1GP5	642357	642357	648407	LOC648407	20070619				
EEF1GP7	645311	645311	652248	LOC652248	20060323				
EEF1GP8	391698	391698	648027	LOC648027	20070619				
EEF2K	29904	29904	101060570	LOC101060570	20130816				
EEFSEC	60678	60678	105374097	LOC105374097	20160609				
EEFSEC	60678	60678	96019	LOC96019	20050510				
EEPD1	80820	80820	730171	LOC730171	20070925				
EEPD1	80820	80820	731418	LOC731418	20070619				
EEPD1	80820	80820	96007	LOC96007	20050510				
EFCAB10	100130771	100130771	100134776	LOC100134776	20080917				
EFCAB4B	84766	84766	102723813	LOC102723813	20150315				
EFCAB4B	84766	84766	440074	FLJ33046	20090131				
EFCAB6	64800	64800	55538	HSCBCIP1	20050510				
EFCAB8	388795	388795	101928239	LOC101928239	20150315				
EFCAB8	388795	388795	101928282	LOC101928282	20150315				
EFCAB8	388795	388795	647461	LOC647461	20070619				
EFCAB9	285588	285588	651812	LOC651812	20060323				
EFCC1	79825	79825	729581	C3orf73	20090429				
EFCC1	79825	79825	731583	LOC731583	20070619				
EFEMP1	2202	2202	1726	DHRD	20050502				
EFEMP2	30008	30008	10515	UPH1	20050510				
EFHC1	114327	114327	1988	EJM1	20060603				
EFHC1	114327	114327	55712	FLJ10466	20050510				
EFHC1	114327	114327	94915	LOC94915	20050510				
EFHC2	80258	80258	23693	MRX74	20140201				
EFHC2	80258	80258	79880	FLJ22601	20050509				
EFHD1	80303	80303	80716	FLJ13612	20050510				
EFHD2	79180	79180	128262	LOC128262	20050510				
EFHD2	79180	79180	79453	MGC4342	20050510				
EFNA2	1943	1943	100506781	LOC100506781	20110630				
EFNA4	1945	1945	127578	LOC127578	20050510				
EFNB1	1947	1947	1079	CFNS	20050505				
EFNB3	1949	1949	124635	LOC124635	20050510				
EFNB3	1949	1949	146750	LOC146750	20050510				
EFTUD1P1	648809	648809	100505780	LOC100505780	20110803				
EFTUD1P1	648809	648809	100508498	LOC100508498	20110803				
EFTUD1P1	648809	648809	388159	FAM42B	20121128				
EFTUD1P1	648809	648809	727963	LOC727963	20100930				
EGF	1950	1950	10976	URG	20050510				
EGFEM1P	93556	93556	100420145	LOC100420145	20110331				
EGFEM1P	93556	93556	253820	LOC253820	20100115				
EGFEM1P	93556	93556	389174	LOC389174	20100115				
EGLN1	54583	54583	113811	LOC113811	20050510				
EGLN1	54583	54583	54703	SM-20	20050510				
EGLN2	112398	112398	112527	LOC112527	20050510				
EGLN2	112398	112398	115774	LOC115774	20050510				
EGLN2	112398	112398	54750	DKFZp434E026	20050510				
EGLN3	112399	112399	63900	FLJ21620	20050510				
EGR4	1961	1961	82930	LOC82930	20050510				
EHD1	10938	10938	10496	PAST	20050502				
EHD2	30846	30846	115390	LOC115390	20050510				
EHMT1	79813	79813	643210	EHMT1-IT1	20170817				
EHMT1	79813	79813	651338	LOC651338	20060312				
EHMT2	10919	10919	80735	NG36	20050510				
EID1	23741	23741	27110	IRO45620	20050510				
EIF1	10209	10209	1963	EIF1	20051004				
EIF1AX	1964	1964	1976	EIF4C	20050510				
EIF1AX	1964	1964	65329	EIF4C	20050510				
EIF1AX	1964	1964	83214	EIF4C_2	20050217				
EIF1AX	1964	1964	83754	EIF1AX	20050510				
EIF1AXP1	280661	280661	100421268	LOC100421268	20101105				
EIF2A	83939	83939	1966	EIF2A	20050510				
EIF2AK4	440275	440275	27104	EIF2AK4	20050512				
EIF2B4	8890	8890	26131	EIF2B	20050510				
EIF2B5	8893	8893	53364	LVWM	20050520				
EIF2S2	8894	8894	9359	EIF2B	20050503				
EIF2S2P1	319115	319115	100422511	LOC100422511	20100811				
EIF2S2P2	347673	347673	100422494	LOC100422494	20110201				
EIF2S2P3	283014	283014	100422504	LOC100422504	20100813				
EIF2S2P3	283014	283014	414262	EIF2S2P3	20110117				
EIF2S2P4	728350	728350	151341	LOC151341	20050510				
EIF2S2P4	728350	728350	285140	LOC285140	20071201				
EIF2S2P4	728350	728350	731061	LOC731061	20061123				
EIF2S2P4	728350	728350	82210	LOC82210	20050510				
EIF2S2P4	728350	728350	88302	LOC88302	20050510				
EIF2S2P5	347675	347675	100422499	EIF2S2P5	20100721				
EIF2S2P7	647016	647016	129666	LOC129666	20120307				
EIF2S2P7	647016	647016	652199	LOC652199	20070619				
EIF3C	8663	8663	124158	LOC124158	20050507				
EIF3C	8663	8663	146390	LOC146390	20050510				
EIF3C	8663	8663	197365	LOC197365	20050508				
EIF3C	8663	8663	197368	LOC197368	20050510				
EIF3CL	728689	728689	653352	LOC653352	20060906				
EIF3EP1	3647	3647	100422202	LOC100422202	20100811				
EIF3FP1	54053	54053	100422248	LOC100422248	20100811				
EIF3FP1	54053	54053	150134	LOC150134	20050510				
EIF3G	8666	8666	9606	EIF3-P42	20050510				
EIF3IP1	442720	442720	442342	LOC442342	20060306				
EIF3J-AS1	645212	645212	650026	LOC650026	20060312				
EIF3K	27335	27335	112778	LOC112778	20050509				
EIF3K	27335	27335	55373	PRO1474	20050510				
EIF3LP1	319117	319117	100422290	LOC100422290	20100817				
EIF3LP2	143341	143341	100422255	LOC100422255	20100813				
EIF3LP3	340947	340947	651590	LOC651590	20060323				
EIF3M	10480	10480	63319	LOC63319	20050510				
EIF4A1P1	54052	54052	100421570	LOC100421570	20100811				
EIF4A1P1	54052	54052	164463	LOC164463	20050510				
EIF4A1P11	100130006	100130006	100462828	LOC100462828	20100811				
EIF4A1P2	359792	359792	100421486	LOC100421486	20100811				
EIF4A1P4	728698	728698	144253	LOC144253	20050509				
EIF4A1P4	728698	728698	400039	LOC400039	20070619				
EIF4A1P4	728698	728698	82046	LOC82046	20050510				
EIF4A1P4	728698	728698	88845	LOC88845	20050510				
EIF4A1P5	390394	390394	100421564	LOC100421564	20100811				
EIF4A1P5	390394	390394	651885	LOC651885	20070619				
EIF4A1P7	341784	341784	100421567	LOC100421567	20100811				
EIF4A1P7	341784	341784	651618	LOC651618	20060323				
EIF4A1P8	100289102	100289102	100291537	LOC100291537	20100430				
EIF4A1P9	642746	642746	648134	LOC648134	20060323				
EIF4A2	1974	1974	51572	BM-010	20050510				
EIF4A2	1974	1974	63124	LOC63124	20050510				
EIF4A2P1	646171	646171	651061	LOC651061	20060323				
EIF4B	1975	1975	55378	PRO1843	20070611				
EIF4BP6	645579	645579	100421458	LOC100421458	20100811				
EIF4BP7	643873	643873	139674	LOC139674	20050510				
EIF4BP7	643873	643873	158924	LOC158924	20050510				
EIF4BP7	643873	643873	82815	LOC82815	20050510				
EIF4BP7	643873	643873	90818	LOC90818	20050509				
EIF4BP7	643873	643873	95269	LOC95269	20050510				
EIF4BP8	339881	339881	649920	LOC649920	20060323				
EIF4BP9	100129692	100129692	645430	LOC645430	20090620				
EIF4BP9	100129692	100129692	650271	LOC650271	20070619				
EIF4E2	9470	9470	100507948	LOC100507948	20130131				
EIF4EP1	1980	1980	100421492	LOC100421492	20100813				
EIF4EP2	100131693	100131693	100113387	EIF4EP2	20111026				
EIF4H	7458	7458	155284	LOC155284	20050510				
EIF4H	7458	7458	221889	LOC221889	20050507				
EIF4H	7458	7458	8889	WBSCR1	20050510				
EIF4H	7458	7458	91811	LOC91811	20050509				
EIF4H	7458	7458	93527	LOC93527	20050510				
EIF4H	7458	7458	94573	LOC94573	20050510				
EIF5A2	56648	56648	57114	eIF-5A2	20050510				
EIF5AL1	143244	143244	1985	EIF5AP1	20090825				
EIF5AL1	143244	143244	414146	EIF5AL1	20070616				
EIF5AL1	143244	143244	82272	LOC82272	20050510				
EIF5AP4	642592	642592	414249	EIF5AL3	20070719				
EIF5B	9669	9669	51590	LOC51590	20050510				
EIF6	3692	3692	1971	EIF3A	20050510				
ELAC2	60528	60528	55162	FLJ10530	20050510				
ELANE	1991	1991	6417	SERP1	20050502				
ELAVL3	1995	1995	84241	DKFZp547J036	20050510				
ELF2	1998	1998	11038	NERF-2	20050510				
ELF2P1	100101917	100101917	100421908	LOC100421908	20100813				
ELF2P2	260335	260335	100421877	LOC100421877	20110308				
ELF2P2	260335	260335	642910	LOC642910	20070725				
ELF2P2	260335	260335	648051	LOC648051	20060323				
ELF2P3	260336	260336	100421851	LOC100421851	20100813				
ELF2P4	644935	644935	100421844	LOC100421844	20100813				
ELF2P4	644935	644935	651095	LOC651095	20060323				
ELF3	1999	1999	2106	ESX	20050510				
ELFN1	392617	392617	168393	LOC168393	20050510				
ELFN1	392617	392617	346355	LOC346355	20060306				
ELFN1	392617	392617	378215	LOC378215	20050510				
ELFN1	392617	392617	652055	LOC652055	20060323				
ELFN2	114794	114794	101927035	RP1-63G5.5	20140208				
ELFN2	114794	114794	729481	LOC729481	20070501				
ELK1P1	647102	647102	402257	LOC402257	20050510				
ELK1P1	647102	647102	402648	LOC402648	20050504				
ELK1P1	647102	647102	641976	LOC641976	20060504				
ELK1P1	647102	647102	647530	LOC647530	20060323				
ELK2AP	2003	2003	100420965	LOC100420965	20100921				
ELK2AP	2003	2003	649897	LOC649897	20061019				
ELK2BP	9995	9995	100420964	LOC100420964	20100824				
ELK2BP	9995	9995	390510	LOC390510	20050510				
ELK4	2005	2005	100506969	LOC100506969	20110601				
ELL	8178	8178	84205	C19orf17	20050510				
ELL2P1	646270	646270	100421183	LOC100421183	20100814				
ELL2P1	646270	646270	649256	LOC649256	20060323				
ELMO2	63916	63916	113720	LOC113720	20050510				
ELMO2	63916	63916	115152	LOC115152	20050510				
ELMO2P1	729894	729894	730502	LOC730502	20070619				
ELMOD1	55531	55531	143885	LOC143885	20050510				
ELMOD1	55531	55531	643923	LOC643923	20170428				
ELMOD1	55531	55531	648653	LOC648653	20060323				
ELMSAN1	91748	91748	101928293	LOC101928293	20140115				
ELOVL1	64834	64834	51113	LOC51113	20050510				
ELOVL1	64834	64834	92652	LOC92652	20050510				
ELOVL1	64834	64834	96722	LOC96722	20050510				
ELOVL3	83401	83401	118976	MGC21435	20050510				
ELOVL4	6785	6785	100750330	SCA34	20150430				
ELOVL4	6785	6785	6784	STGD2	20050510				
ELOVL4	6785	6785	94678	LOC94678	20050510				
ELOVL5	60481	60481	57229	DJ483K16.1	20050509				
ELP4	26610	26610	113267	LOC113267	20050510				
ELP4	26610	26610	54515	ELP4	20050510				
ELP5	23587	23587	201244	LOC201244	20050502				
ELSPBP1	64100	64100	126154	LOC126154	20050510				
EMBP1	647121	647121	642123	LOC642123	20070619				
EMC10	284361	284361	126122	LOC126122	20050504				
EMC8	10328	10328	749	C16orf2	20081118				
EMC8	10328	10328	751	C16orf4	20050510				
EMC9	51016	51016	338009	C14orf122	20050510				
EMC9	51016	51016	95655	LOC95655	20050510				
EME2	197342	197342	390668	LOC390668	20050510				
EMG1	10436	10436	105369636	LOC105369636	20160210				
EMG1	10436	10436	619532	BWCNS	20091006				
EMILIN1	11117	11117	25883	DKFZP586M121	20050510				
EMILIN3	90187	90187	359823	EMILIN5	20050510				
EML4	27436	27436	54548	FLJ10942	20050510				
EML6	400954	400954	649652	LOC649652	20060312				
EMR4P	326342	326342	347749	EMR4	20050510				
EMX2	2018	2018	115684	LOC115684	20050510				
EMX2OS	196047	196047	645902	LOC645902	20060601				
EMX2OS	196047	196047	650869	LOC650869	20060312				
EN2	2020	2020	7973	AUT	20050510				
EN2	2020	2020	8311	AUTS1	20060606				
ENAH	55740	55740	113521	LOC113521	20050510				
ENAM	10117	10117	200	AIH2	20060527				
ENDOG	2021	2021	158164	LOC158164	20050510				
ENO1	2023	2023	127326	LOC127326	20050510				
ENO1	2023	2023	148913	LOC148913	20050510				
ENO1	2023	2023	2024	ENO1L1	20050502				
ENO1	2023	2023	4346	MPB1	20050509				
ENO1	2023	2023	81977	LOC81977	20050510				
ENO4	387712	387712	414268	C10orf134	20081105				
ENOSF1	55556	55556	100505523	LOC100505523	20101214				
ENOX2	10495	10495	95974	LOC95974	20050510				
ENPP4	22875	22875	57011	ENPP4	20050510				
ENPP7P4	100421816	100421816	100533841	LOC100533841	20110702				
ENPP7P4	100421816	100421816	100631264	LOC100631264	20110914				
ENSA	2029	2029	51620	LOC51620	20050510				
ENSAP1	170511	170511	100462770	LOC100462770	20100811				
ENSAP2	319114	319114	100462771	LOC100462771	20100811				
ENTPD1-AS1	728558	728558	105378439	LOC105378439	20160609				
ENTPD1-AS1	728558	728558	105378440	LOC105378440	20151217				
ENTPD1-AS1	728558	728558	404033	FLJ34077	20100713				
ENTPD1-AS1	728558	728558	730892	LOC730892	20070619				
ENTPD1-AS1	728558	728558	79267	MGC10764	20050510				
ENTPD4	9583	9583	57012	ENTPD4	20050510				
EOGT	285203	285203	79580	FLJ13078	20050510				
EP400	57634	57634	23472	TNRC12	20050510				
EP400	57634	57634	84442	KIAA1818	20050510				
EP400NL	347918	347918	25868	DKFZP434I225	20050510				
EP400NL	347918	347918	728308	LOC728308	20070927				
EP400NL	347918	347918	732378	LOC732378	20070619				
EPB41	2035	2035	149149	LOC149149	20050510				
EPB41L1	2036	2036	23260	KIAA0338	20050510				
EPB41L3	23136	23136	8730	EPB41L3	20050510				
EPB41L4B	54566	54566	55360	DKFZp761N1814	20050510				
EPB41L4B	54566	54566	79881	FLJ21596	20050510				
EPB41L4B	54566	54566	87974	LOC87974	20050510				
EPB41L5	57669	57669	80242	FLJ12957	20050510				
EPC2	26122	26122	96643	LOC96643	20050510				
EPCAM	4072	4072	4275	MIC18	20050510				
EPDR1	54749	54749	222112	LOC222112	20050510				
EPDR1	54749	54749	96010	LOC96010	20050510				
EPG5	57724	57724	284267	LOC284267	20060422				
EPG5	57724	57724	653797	LOC653797	20060422				
EPG5	57724	57724	654033	LOC654033	20060323				
EPHA1-AS1	285965	285965	101929942	LOC101929942	20140206				
EPHA10	284656	284656	440580	FLJ16103	20050509				
EPHA4	2043	2043	401031	LOC401031	20050510				
EPHA5	2044	2044	7304	TYRO4	20050510				
EPHA6	285220	285220	203806	EPHA6	20050510				
EPHA6	285220	285220	643103	LOC643103	20060511				
EPHA6	285220	285220	647649	LOC647649	20060511				
EPHB2	2048	2048	2080	ERK	20050510				
EPHB2	2048	2048	50980	PCBC	20060802				
EPHX2	2053	2053	105379341	LOC105379341	20160609				
EPO	2056	2056	82670	LOC82670	20050510				
EPPIN	57119	57119	57155	LOC57155	20050510				
EPPK1	83481	83481	340391	LOC340391	20050510				
EPPK1	83481	83481	389697	LOC389697	20050510				
EPPK1	83481	83481	642584	LOC642584	20060512				
EPPK1	83481	83481	648526	LOC648526	20060323				
EPS15L1	58513	58513	105372294	LOC105372294	20160609				
EPS8L3	79574	79574	126998	LOC126998	20050510				
ERAL1	26284	26284	10074	HERA-B	20050510				
ERAP1	51752	51752	101929747	LOC101929747	20180803				
ERAP1	51752	51752	26026	KIAA0525	20050510				
ERAP1	51752	51752	51461	APPILS	20050510				
ERAP1	51752	51752	51577	LOC51577	20050510				
ERAP2	64167	64167	82522	LOC82522	20050510				
ERAP2	64167	64167	87126	LOC87126	20050510				
ERAS	3266	3266	139168	LOC139168	20050510				
ERBB3	2065	2065	619500	LCCS2	20070905				
ERC1	23085	23085	84770	MGC12974	20050510				
ERCC2	2068	2068	7269	TTD	20060422				
ERCC4	2072	2072	161866	LOC161866	20050510				
ERCC4	2072	2072	197172	LOC197172	20050510				
ERCC4	2072	2072	7509	XPF	20050502				
ERCC6	2074	2074	1162	CKN2	20050510				
ERCC6	2074	2074	282965	LOC282965	20050510				
ERCC6-PGBD3	101243544	101243544				-	101243544	ERCC6-PGBD3	20160526
ERCC6L2	375748	375748	101928170	LOC101928170	20140322				
ERCC6L2	375748	375748	56959	C9orf102	20080312				
ERCC8	1161	1161	2075	ERCC8	20050510				
ERH	2079	2079	65719	LOC65719	20050510				
ERH	2079	2079	95660	LOC95660	20050510				
ERI2	112479	112479	57638	KIAA1504	20050510				
ERI2	112479	112479	730083	LOC730083	20070427				
ERI2	112479	112479	730570	LOC730570	20061118				
ERICH1	157697	157697	286163	LOC286163	20050510				
ERICH1	157697	157697	441310	FLJ00290	20141217				
ERICH2	285141	285141	100505695	LOC100505695	20130709				
ERICH2	285141	285141	100506147	LOC100506147	20101127				
ERICH2	285141	285141	151342	LOC151342	20050510				
ERICH2	285141	285141	643684	LOC643684	20090620				
ERICH2	285141	285141	650047	LOC650047	20070619				
ERLEC1P1	100288870	100288870	100292863	LOC100292863	20100430				
ERLIN2	11160	11160	140906	SPG18	20170224				
ERMAP	114625	114625	55407	PRO2801	20050510				
ERMAP	114625	114625	5958	RD	20060114				
ERMAP	114625	114625	6306	SC	20060131				
ERN1	2081	2081	146774	FLJ30999	20050510				
ERN1	2081	2081	63433	LOC63433	20050510				
ERN2	10595	10595	388226	LOC388226	20050217				
ERVK13-1	100507321	100507321	283874	LOC283874	20070421				
ERVK13-1	100507321	100507321	54917	FLJ20393	20050510				
ERVMER34-1	100288413	100288413	100290734	LOC100290734	20100430				
ERVMER34-1	100288413	100288413	100293101	LOC100293101	20100430				
ERVMER34-1	100288413	100288413	79584	FLJ12684	20070424				
ESAM	90952	90952	58514	LOC58514	20050510				
ESCO2	157570	157570	5951	RBS~withdrawn	20050804				
ESF1	51575	51575	55639	FLJ20368	20050510				
ESP33	100188917	100188917				-	100188917	ESP33	20170826
ESPN	83715	83715	148644	LOC148644	20050510				
ESPN	83715	83715	246205	DFNB36	20050510				
ESR2	2100	2100	440183	LOC440183	20050502				
ESRP2	80004	80004	80246	FLJ22248	20050510				
ESRRAP1	144847	144847	100420518	LOC100420518	20100813				
ESRRAP1	144847	144847	2102	ESRRAP	20050510				
ESRRAP2	144832	144832	100420521	LOC100420521	20100813				
ESRRB	2103	2103	246148	DFNB35	20080321				
ESX1	80712	80712	139230	ESX1L	20050510				
ETF1	2107	2107	6823	SUP45L1	20050505				
ETF1	2107	2107	9190	RF1	20050510				
ETF1P1	6824	6824	100421443	LOC100421443	20110308				
ETF1P2	6825	6825	100421460	LOC100421460	20100813				
ETF1P3	100132121	100132121	100421463	LOC100421463	20100813				
ETF1P3	100132121	100132121	6826	ETF1P3	20090226				
ETHE1	23474	23474	115699	LOC115699	20050510				
ETHE1	23474	23474	83055	LOC83055	20050510				
ETHE1	23474	23474	93063	LOC93063	20050510				
ETHE1	23474	23474	94930	LOC94930	20050510				
ETV1	2115	2115	221810	LOC221810	20050512				
ETV2	2116	2116	339321	LOC339321	20050504				
ETV6	2120	2120	4348	MPE	20060608				
ETV7	51513	51513	51396	TEL-2	20050510				
ETV7	51513	51513	51740	LOC51740	20050510				
EVA1C	59271	59271	59270	C21orf64	20070715				
EVC	2121	2121	102723901	LOC102723901	20150315				
EVC	2121	2121	51549	DWF-1	20050510				
EVC	2121	2121	7886	EVCL	20050510				
EVI5	7813	7813	440593	LOC440593	20050628				
EVI5	7813	7813	440953	LOC440953	20050510				
EVPLL	645027	645027	284148	LOC284148	20050510				
EVPLL	645027	645027	339237	LOC339237	20060306				
EVX2	344191	344191	129908	LOC129908	20050510				
EVX2	344191	344191	2129	EVX2	20070118				
EVX2	344191	344191	650617	LOC650617	20060323				
EXD3	54932	54932	349337	FLJ30442	20050504				
EXO1	9156	9156	8571	HEX1	20050510				
EXOC5	10640	10640	29024	PRO1912	20050510				
EXOC5P1	644548	644548	648107	LOC648107	20070619				
EXOC7P1	391681	391681	650778	LOC650778	20070619				
EXOG	9941	9941	10104	ENDOGL2	20050510				
EXOG	9941	9941	338025	ENDOGL2	20090310				
EXOGP1	100128324	100128324	100421639	LOC100421639	20100813				
EXOSC10	5394	5394	113266	LOC113266	20050510				
EXOSC10	5394	5394	127157	LOC127157	20050510				
EXOSC10	5394	5394	127765	LOC127765	20050510				
EXOSC10	5394	5394	149219	LOC149219	20050510				
EXOSC10	5394	5394	8619	PMSCL	20050510				
EXOSC3P1	100151640	100151640	100419151	LOC100419151	20100813				
EXOSC3P2	100190954	100190954	100419131	LOC100419131	20100813				
EXOSC7	23016	23016	115558	LOC115558	20050509				
EXOSC7	23016	23016	151946	LOC151946	20050510				
EXT1	2131	2131	3966	LGCR	20081119				
EXTL2P1	100287682	100287682	100290584	LOC100290584	20100430				
EXTL2P1	100287682	100287682	100292212	LOC100292212	20100430				
EXTL2P1	100287682	100287682	2136	EXTL2P	20100318				
EXTL3	2137	2137	105379344	LOC105379344	20180329				
EXTL3	2137	2137	105379345	LOC105379345	20180329				
EYA4	2070	2070	1691	DFNA10	20050502				
EYA4	2070	2070	56002	CMD1J	20060504				
EYS	346007	346007	100134271	LOC100134271	20081220				
EYS	346007	346007	346006	EGFL10	20070620				
EYS	346007	346007	387108	C6orf178	20081217				
EYS	346007	346007	387109	C6orf179	20090310				
EYS	346007	346007	387110	C6orf180	20070715				
EYS	346007	346007	442228	LOC442228	20081009				
EYS	346007	346007	727945	LOC727945	20081009				
EYS	346007	346007	727966	EGFL10	20081220				
EYS	346007	346007	730504	LOC730504	20070619				
EYS	346007	346007	8414	RP25	20081119				
EZH1	2145	2145	100505859	LOC100505859	20101215				
EZH2	2146	2146	136049	LOC136049	20050510				
EZH2	2146	2146	392834	LOC392834	20050510				
EZR	7430	7430	51553	DKFZp762H157	20050510				
F11	2160	2160	201924	LOC201924	20050510				
F12	2161	2161	58984	HAEX	20070509				
F2RL1	2150	2150	7901	GPR11	20050506				
F2RL3	9002	9002	8180	PAR4	20050510				
F8	2157	2157	8265	DXS1253E	20050510				
F9	2158	2158	158996	LOC158996	20050510				
FA2H	79152	79152	724111	SPG35	20100805				
FABP12	646486	646486	650722	LOC650722	20070619				
FABP3	2170	2170	337956	FABP11	20050510				
