MED13	ENST00000397786	7.7921e-01	1.0000e+00	8.9436e-40	1.8383e-16	0.0000e+00	ENSG00000108510
NIPBL	ENST00000282516	5.8688e-01	1.0000e+00	2.9773e-59	3.5724e-24	6.6527e-03	ENSG00000164190
SMC3	ENST00000361804	2.8251e-01	1.0000e+00	2.7853e-32	2.1914e-13	0.0000e+00	ENSG00000108055
CNOT1	ENST00000317147	4.3290e-01	1.0000e+00	2.9924e-49	4.5629e-20	7.9978e-03	ENSG00000125107
RLF	ENST00000372771	6.8766e-01	1.0000e+00	8.4055e-30	2.2842e-12	0.0000e+00	ENSG00000117000
PCF11	ENST00000298281	7.3265e-01	1.0000e+00	2.4872e-30	1.3855e-12	0.0000e+00	ENSG00000165494
FNDC3B	ENST00000336824	7.9911e-01	1.0000e+00	1.8792e-28	8.1792e-12	0.0000e+00	ENSG00000075420
TAF1	ENST00000276072	4.3565e-01	1.0000e+00	4.2881e-28	1.1477e-11	0.0000e+00	ENSG00000147133
RSF1	ENST00000308488	8.1933e-01	1.0000e+00	1.1427e-27	1.7162e-11	0.0000e+00	ENSG00000048649
NCKAP1	ENST00000360982	5.0127e-01	1.0000e+00	1.9726e-27	2.1473e-11	0.0000e+00	ENSG00000061676
KDM2A	ENST00000529006	4.3371e-01	1.0000e+00	9.1458e-27	4.0308e-11	0.0000e+00	ENSG00000173120
BRD4	ENST00000263377	6.4445e-01	1.0000e+00	3.6442e-25	1.8298e-10	0.0000e+00	ENSG00000141867
HELZ	ENST00000358691	7.1301e-01	1.0000e+00	9.3750e-39	9.2946e-16	1.0152e-02	ENSG00000198265
FBN1	ENST00000316623	6.4480e-01	1.0000e+00	1.6931e-60	4.0882e-24	1.8895e-02	ENSG00000166147
XPO1	ENST00000401558	2.7741e-01	1.0000e+00	4.8111e-24	5.2781e-10	0.0000e+00	ENSG00000082898
PRR12	ENST00000418929	7.6480e-01	1.0000e+00	1.1937e-23	7.6646e-10	0.0000e+00	ENSG00000126464
USP9X	ENST00000324545	4.0761e-01	1.0000e+00	9.1757e-37	6.1020e-15	1.0698e-02	ENSG00000124486
POLA1	ENST00000379059	7.5166e-01	1.0000e+00	1.2072e-23	7.7001e-10	0.0000e+00	ENSG00000101868
SYNGAP1	ENST00000418600	4.4097e-01	1.0000e+00	3.3382e-23	1.1691e-09	0.0000e+00	ENSG00000197283
PRKDC	ENST00000314191	8.2989e-01	1.0000e+00	6.4420e-75	1.8259e-29	2.4934e-02	ENSG00000253729
HDAC4	ENST00000345617	6.9262e-01	1.0000e+00	1.5183e-23	8.4601e-10	0.0000e+00	ENSG00000068024
SMG1	ENST00000446231	7.7890e-01	1.0000e+00	7.7134e-65	1.3004e-25	2.3202e-02	ENSG00000157106
